Timestamp,q.w,q.i,q.j,q.k,euler
1716936526109,0.9998791,-0.004242073,-0.01495407,0.0004882962,[179.9367546    1.71342091  -0.48710736]
1716936526109,0.9998798,-0.003845332,-0.01501511,0.0004882962,[179.93740758   1.72044125  -0.4416332 ]
1716936526109,0.9998804,-0.003662221,-0.01501511,0.0004882962,[179.93772274   1.72045283  -0.42064302]
1716936526109,0.9998822,-0.003570666,-0.01492355,0.0004577776,[179.9414164    1.70997779  -0.41008892]
1716936526109,0.9998851,-0.003357036,-0.01477096,0.0004577776,[179.94184098   1.6925031   -0.38558981]
1716936526109,0.9998868,-0.003418073,-0.01464888,0.0004577776,[179.9417858    1.67850859  -0.3925779 ]
1716936526109,0.9998878,-0.003357036,-0.01458785,0.0004577776,[179.94191193   1.67151808  -0.38557709]
1716936526109,0.9998887,-0.003387555,-0.01452681,0.0004577776,[179.94188477   1.66452075  -0.38907116]
1716936526109,0.999888,-0.003448592,-0.01455733,0.0004272591,[179.94526924   1.66802707  -0.39601896]
1716936526109,0.9998887,-0.003631703,-0.01446577,0.0004272591,[179.94500203   1.65752395  -0.41700258]
1716936526109,0.9998888,-0.003845332,-0.01440474,0.0004272591,[179.94467486   1.65051793  -0.44148635]
1716936526109,0.999889,-0.003906369,-0.01437422,0.0004577776,[179.9410896    1.64700318  -0.4485311 ]
1716936526109,0.999887,-0.004058962,-0.01446577,0.0004577776,[179.94079534   1.65748614  -0.46602921]
1716936526109,0.9998851,-0.00408948,-0.01458785,0.0004577776,[179.94068717   1.67147503  -0.46953635]
1716936526109,0.9998859,-0.004119999,-0.01452681,0.0004272591,[179.94416338   1.66449227  -0.47297942]
1716936526109,0.9998843,-0.004181036,-0.01461837,0.0004272591,[179.94401762   1.6749819   -0.47998243]
1716936526109,0.999886,-0.004211554,-0.01449629,0.0004272591,[179.94402574   1.66098942  -0.4834721 ]
1716936526109,0.9998859,-0.004242073,-0.01449629,0.0004272591,[179.94397503   1.66098766  -0.48697044]
1716936526109,0.9998863,-0.004333628,-0.01443525,0.0004272591,[179.94385337   1.65398734  -0.49746101]
1716936526109,0.9998887,-0.004181036,-0.01431318,0.0004272591,[179.94416467   1.64000638  -0.47996113]
1716936526109,0.9998873,-0.003997925,-0.01446577,0.0004272591,[179.94439478   1.6575037   -0.45898201]
1716936526109,0.9998846,-0.003997925,-0.01464888,0.0004272591,[179.94431039   1.67848867  -0.45899467]
1716936526109,0.9998878,-0.003875851,-0.01446577,0.0004272591,[179.9445972    1.65751044  -0.44498885]
1716936526109,0.9998922,-0.003631703,-0.01422163,0.0004272591,[179.94510428   1.62954488  -0.41698624]
1716936526109,0.9998939,-0.003509629,-0.01413007,0.0003967406,[179.94883852   1.61907095  -0.40293779]
1716936526109,0.9998968,-0.003418073,-0.01394696,0.0003967406,[179.94905897   1.59809081  -0.39243168]
1716936526109,0.9999007,-0.003387555,-0.01367229,0.0003967406,[179.94921502   1.56661468  -0.38891661]
1716936526109,0.9999009,-0.003448592,-0.01364177,0.0003967406,[179.9491315    1.56311395  -0.39591106]
1716936526109,0.9999028,-0.003601184,-0.01345866,0.0003967406,[179.94896888   1.54212159  -0.41339041]
1716936526109,0.9999013,-0.00369274,-0.01355022,0.0003967406,[179.94878869   1.55260969  -0.42389059]
1716936526109,0.9999021,-0.00347911,-0.01355022,0.0003967406,[179.94912049   1.55262054  -0.39940348]
1716936526109,0.9998999,-0.003509629,-0.01370281,0.0003967406,[179.94901137   1.57010605  -0.40291115]
1716936526109,0.9998975,-0.00369274,-0.01382488,0.0003967406,[179.94867182   1.5840862   -0.42390788]
1716936526109,0.9998968,-0.003875851,-0.01382488,0.0003662221,[179.95187979   1.58409038  -0.44484867]
1716936526109,0.9998947,-0.003997925,-0.01394696,0.0003662221,[179.95163014   1.59807494  -0.45884886]
1716936526109,0.9998932,-0.004150517,-0.014008,0.0003662221,[179.95135703   1.60506287  -0.47634366]
1716936526109,0.9998915,-0.004364147,-0.01406903,0.0003662221,[179.95098335   1.61204648  -0.5008351 ]
1716936526109,0.9998904,-0.004486221,-0.01409955,0.0003662221,[179.95077072   1.61553834  -0.51483005]
1716936526109,0.9998936,-0.004455702,-0.01388592,0.0003662221,[179.95092963   1.59105738  -0.51131816]
1716936526109,0.9998913,-0.004394665,-0.01406903,0.0003357036,[179.9544323   1.6120605  -0.5042841]
1716936526109,0.9998938,-0.004211554,-0.01394696,0.0003357036,[179.95478677   1.59807938  -0.48328752]
