Timestamp,q.w,q.i,q.j,q.k,euler
1717193247917,0.7328303,-0.01281777,0.6802881,-0.001892148,[-164.80265024  -85.57778812  -16.08330462]
1717193247917,0.7328297,-0.01284829,0.6802881,-0.001892148,[-164.77286007  -85.5771669   -16.11556992]
1717193247917,0.732802,-0.01281777,0.6803186,-0.001861629,[-164.81811854  -85.58304643  -16.07030961]
1717193247917,0.732802,-0.01281777,0.6803186,-0.001861629,[-164.81811854  -85.58304643  -16.07030961]
1717193247917,0.732887,-0.01281777,0.680227,-0.001861629,[-164.86797611  -85.56925364  -16.02045619]
1717193247917,0.7329147,-0.01284829,0.6801965,-0.001892148,[-164.82279224  -85.56337715  -16.0656419 ]
1717193247917,0.7329153,-0.01281777,0.6801965,-0.001892148,[-164.85249296  -85.56399628  -16.03346604]
1717193247917,0.7329425,-0.01287881,0.680166,-0.001922666,[-164.77775712  -85.55749044  -16.11067888]
1717193247917,0.7329695,-0.01293985,0.6801355,-0.001983703,[-164.67129411  -85.55031997  -16.21714433]
1717193247917,0.7329677,-0.0130314,0.6801355,-0.002075259,[-164.48704864  -85.54640158  -16.40139045]
1717193247917,0.732969,-0.01297037,0.6801355,-0.001983703,[-164.64174236  -85.54968575  -16.24917118]
1717193247917,0.7330256,-0.01297037,0.6800745,-0.002014222,[-164.64327807  -85.53983634  -16.24516353]
1717193247917,0.7329111,-0.0130314,0.6801965,-0.002075259,[-164.45326686  -85.55556952  -16.43516946]
1717193247917,0.7329387,-0.01306192,0.680166,-0.002105777,[-164.40874276  -85.5496754   -16.47969555]
1717193247917,0.7329097,-0.01309244,0.6801965,-0.002136296,[-164.33032073  -85.55294088  -16.55811671]
1717193247917,0.7328833,-0.01300089,0.680227,-0.00204474,[-164.4978431   -85.56147569  -16.39059226]
1717193247917,0.7328267,-0.01300089,0.6802881,-0.00204474,[-164.46393986  -85.57065221  -16.42449267]
1717193247917,0.7327984,-0.01300089,0.6803186,-0.002014222,[-164.47898007  -85.57591693  -16.41192567]
1717193247917,0.7327983,-0.01300089,0.6803186,-0.00204474,[-164.44692112  -85.57524331  -16.44151009]
1717193247917,0.7327127,-0.0130314,0.6804101,-0.002075259,[-164.33380924  -85.58767551  -16.55461753]
1717193247917,0.7327417,-0.01300089,0.6803796,-0.00204474,[-164.41283556  -85.5844094   -16.47559288]
1717193247917,0.7327706,-0.01297037,0.6803491,-0.002014222,[-164.49172475  -85.58114259  -16.39670453]
1717193247917,0.7328002,-0.01290933,0.6803186,-0.001953185,[-164.63236988  -85.57916429  -16.25605972]
1717193247917,0.7328286,-0.01290933,0.6802881,-0.001953185,[-164.64921129  -85.57456897  -16.23921964]
1717193247917,0.7329116,-0.01300089,0.6801965,-0.00204474,[-164.51472788  -85.55689089  -16.37370886]
1717193247917,0.7329116,-0.01300089,0.6801965,-0.00204474,[-164.51472788  -85.55689089  -16.37370886]
1717193247917,0.7329394,-0.0130314,0.680166,-0.00204474,[-164.50204202  -85.55166589  -16.38887038]
1717193247917,0.7329406,-0.01297037,0.680166,-0.002014222,[-164.59308253  -85.55360583  -16.29535499]
1717193247917,0.7329677,-0.0130314,0.6801355,-0.002075259,[-164.48704864  -85.54640158  -16.40139045]
1717193247917,0.732967,-0.01306192,0.6801355,-0.002105777,[-164.42567447  -85.54509265  -16.46276523]
1717193247917,0.7329947,-0.01309244,0.680105,-0.002136296,[-164.38131907  -85.53918939  -16.50712247]
1717193247917,0.7329375,-0.01312296,0.680166,-0.002166814,[-164.28604366  -85.54702446  -16.60239565]
1717193247917,0.73285,-0.01324503,0.6802576,-0.00225837,[-164.02078009  -85.55610498  -16.87013093]
1717193247917,0.7327933,-0.01324503,0.6803186,-0.00225837,[-163.98593004  -85.56525866  -16.90497827]
1717193247917,0.7327373,-0.01321451,0.6803796,-0.002227851,[-164.01257506  -85.57575919  -16.87833002]
1717193247917,0.7327656,-0.01321451,0.6803491,-0.00225837,[-163.99808885  -85.57048595  -16.89034293]
